,JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible,lon,lat
3170,105,City of Chicago,3605,PRECINCT 36 WARD 5,CYRIL APTS,APARTMENT BUILDING,7150 SCYRIL AVE,-1,Chicago,-1.0,60649,N,-87.57708009999999,41.7646302
3171,105,City of Chicago,3726,PRECINCT 37 WARD 26,ST AUGUSTINE COLLEGE,SCHOOL PRIVATE,3255 WARMITAGE AVE,-1,Chicago,-1.0,60647,Y,-87.709064,41.917156
3172,105,City of Chicago,3732,PRECINCT 37 WARD 32,ST HEDWIG CONVENT,CHURCH,2219 NHAMILTON AVE,-1,Chicago,-1.0,60647,N,-87.6812044,41.921782
3173,105,City of Chicago,3905,PRECINCT 39 WARD 5,UNIVERSITY PARK CONDO,APARTMENT BUILDING,1450 E55TH PL,-1,Chicago,-1.0,60637,Y,-87.591262,41.794911
3174,105,City of Chicago,3926,PRECINCT 39 WARD 26,CHOPIN SCHOOL,PUBLIC SCHOOL,2450 WRICE ST,-1,Chicago,-1.0,60622,Y,-87.6885184,41.897037
3175,105,City of Chicago,3938,PRECINCT 39 WARD 38,THORP SCHOOL,PUBLIC SCHOOL,6024 WWARWICK AVE,-1,Chicago,-1.0,60634,Y,-87.7777168,41.9488905
3176,105,City of Chicago,3944,PRECINCT 39 WARD 44,HAWTHORNE SCHOOL,PUBLIC SCHOOL,3319 NCLIFTON AVE,-1,Chicago,-1.0,60657,N,-87.65757459999999,41.9422574
3177,105,City of Chicago,4039,PRECINCT 40 WARD 39,SAUGANASH PARK,PARK DISTRICT FIELD HOUSE,5861 NKOSTNER AVE,-1,Chicago,-1.0,60646,Y,-87.7373916,41.98794849999999
3178,105,City of Chicago,4221,PRECINCT 42 WARD 21,BRAINERD PARK,PARK DISTRICT FIELD HOUSE,1246 W92ND ST,-1,Chicago,-1.0,60620,Y,-87.65494369999999,41.72714819999999
3179,105,City of Chicago,4334,PRECINCT 43 WARD 34,SHELDON HEIGHTS CHURCH,CHURCH,11325 SHALSTED ST,-1,Chicago,-1.0,60628,N,-87.6418636,41.6879239
3180,105,City of Chicago,446,PRECINCT 4 WARD 46,PRESTON BRADLEY CENTER,CHURCH,941 WLAWRENCE AVE,-1,Chicago,-1.0,60640,Y,-87.6539143,41.9689247
3181,105,City of Chicago,5027,PRECINCT 50 WARD 27,MIDWEST TERRACE APARTMENTS,CHA - SENIOR,150 SCAMPBELL AVE,-1,Chicago,-1.0,60612,Y,-87.68951469999999,41.8787764
3182,105,City of Chicago,509,PRECINCT 5 WARD 9,VICTORY CENTRE/ROSELAND,SENIOR RESIDENCE,10450 SMICHIGAN AVE,-1,Chicago,-1.0,60628,Y,-87.621207,41.7038487
3183,105,City of Chicago,522,PRECINCT 5 WARD 22,PIOTROWSKI PARK,PARK DISTRICT FIELD HOUSE,4247 W31ST ST,-1,Chicago,-1.0,60623,Y,-87.7307733,41.8365502
